run_id,metric,lb,remark
run_lgb_20240730_143319,"0.48136755210165677,0.2732510327013411",,
run_lgb_20240730_143328,"0.31816753704116,0.5727702098487336",,
run_lgb_20240730_145315,"0.47761680272690016,0.31626932193002777",,
run_lgb_20240730_145329,"0.32314875755496675,0.5497015389511342",,
