idx,fold,ratio of preparation/free drug
1,-1,0.32437103984327426
3,-1,0.34737723282198585
4,-1,0.4840338096728393
6,-1,0.24762125378835198
7,-1,0.10009025389420853
10,-1,0.5925745950795576
11,-1,0.7430677695868717
12,-1,0.5925745950795576
13,-1,0.7430677695868717
14,-1,0.3296467494004798
17,-1,0.2340357799932667
18,-1,0.2340357799932667
19,-1,0.3342432658350491
20,-1,0.24798094342285018
21,-1,0.42668398589278256
24,-1,0.354388271047089
25,-1,0.43496480743529065
27,-1,0.3463472760108135
28,-1,0.5426903160975771
30,-1,0.30182280980957554
31,-1,0.43973888957885293
33,-1,0.26085568992001945
34,-1,0.4634194813902891
36,-1,0.7836769133617896
37,-1,0.6077729549825173
38,-1,1.1590324426507628
40,-1,0.34781139736965916
41,-1,0.06892202569055031
43,-1,0.43898075194877695
44,-1,0.44591458703624637
45,-1,0.4355426264803569
47,-1,0.4682042315329658
48,-1,0.4222211006878786
49,-1,0.7643738374355962
51,-1,0.33802655465850523
52,-1,0.45133756236968936
53,-1,0.4778732461607177
54,-1,0.45133756236968936
56,-1,0.392917774711953
58,-1,0.4446340571097926
59,-1,0.3674555872237231
61,-1,0.23351920845735483
63,-1,0.5184013024642266
64,-1,0.41642897217424524
65,-1,0.4430614090337111
66,-1,0.4430614090337111
69,-1,0.6043584146703733
70,-1,0.8948699661267068
72,-1,0.25849783698342926
73,-1,0.49858455301490007
75,-1,0.723964983925827
76,-1,0.8168622280102414
78,-1,0.42872873208183543
79,-1,0.4664955297589277
81,-1,0.37586435720998573
82,-1,0.5156722404541401
84,-1,0.2220176604671523
86,-1,0.3353865583436159
87,-1,0.44559100371392113
88,-1,0.44976260179448146
89,-1,0.4316689864811994
91,-1,0.4675195610957116
92,-1,0.5260383279520094
94,-1,0.7917846790539819
96,-1,0.36678521227816485
97,-1,0.36678521227816485
99,-1,0.5133537916912577
100,-1,0.6868195175918346
101,-1,0.7459606809749486
103,-1,0.3934802122203861
105,-1,0.5814177141532796
106,-1,0.638712992730019
108,-1,0.5087278319249702
109,-1,0.74990912360343
110,-1,0.74990912360343
111,-1,0.7454721211965272
113,-1,0.48083062635616536
114,-1,0.4692064577791353
116,-1,0.7977683525308443
117,-1,0.7716175694128544
119,-1,0.37320560772295636
120,-1,0.35234487639664636
121,-1,0.44986255276973725
122,-1,0.43313010754195874
124,-1,0.408719319990887
125,-1,0.408719319990887
126,-1,0.5136009257076188
128,-1,0.6212528342337028
129,-1,0.40677935674202687
131,-1,0.4474504185045822
132,-1,0.47612959859141
135,-1,0.41151618455825795
136,-1,0.5561109546430504
138,-1,0.3339955670801731
140,-1,0.3733817926078413
141,-1,0.7232930790312492
142,-1,0.7136899281541562
143,-1,0.7136899281541562
144,-1,0.8387600675274028
145,-1,0.37319401945203146
146,-1,0.3655703085354098
147,-1,0.39756787352493905
148,-1,0.3425316127550088
149,-1,0.3592855562711912
150,-1,0.6170082024956284
151,-1,0.4089275600448839
152,-1,0.3527669444823574
153,-1,0.36610074155155414
154,-1,0.27939094160871103
155,-1,0.27939094160871103
157,-1,0.47980721579080204
159,-1,0.47980721579080204
161,-1,0.47980721579080204
166,-1,0.34213729915633473
167,-1,0.34213729915633473
168,-1,0.34213729915633473
169,-1,0.34213729915633473
171,-1,0.30516357951411816
173,-1,0.34469733699260446
175,-1,0.61663507227875
177,-1,0.5058434677967771
178,-1,0.5378685323025474
180,-1,0.540551466743669
181,-1,0.5150232271976182
183,-1,0.5716817099651615
184,-1,0.6186813797374704
185,-1,0.48692616706317565
186,-1,0.27158969165438057
189,-1,0.6182646016244298
190,-1,0.5237957854053708
191,-1,0.48364642508781935
192,-1,0.8962297969863573
193,-1,0.8962297969863573
194,-1,0.4382250450036
196,-1,0.5660652588688577
197,-1,0.5735031294896199
198,-1,0.5735031294896199
201,-1,0.2840352023447222
202,-1,0.45909120413653776
204,-1,0.4794747752848782
205,-1,0.6433275176977452
206,-1,0.6433275176977452
207,-1,0.40739517731192326
209,-1,0.46573220443111985
211,-1,0.3732930045482357
212,-1,0.34688684810297216
214,-1,0.31356575524900626
215,-1,0.5402591689158412
218,-1,0.3033825580565174
219,-1,0.2676034341677421
220,-1,0.4152887780297231
221,-1,0.4810835547462101
222,-1,0.5230066279754042
223,-1,0.5727343928914157
224,-1,0.5516266945648006
225,-1,0.5516266945648006
226,-1,0.5516266945648006
227,-1,0.3313870794932211
229,-1,0.2788999748267679
231,-1,0.4714927914846651
232,-1,0.555019431932499
233,-1,0.49407999995826407
236,-1,0.6119009682110811
238,-1,0.5159251317512682
239,-1,0.5059611254308222
241,-1,0.3831383982329652
242,-1,0.3831383982329652
243,-1,0.559050645992243
244,-1,0.559050645992243
245,-1,0.7041816900634547
247,-1,0.17603252669849054
248,-1,0.8382565505946185
249,-1,0.6409378568626198
250,-1,0.7377781388099585
252,-1,0.3847712565252212
253,-1,0.7970548738197428
254,-1,0.43993208398176636
255,-1,0.524500288704375
256,-1,0.46636247328429886
258,-1,0.3835310460515075
260,-1,0.09555300892077687
261,-1,0.36195401436399727
262,-1,0.37820227018133323
264,-1,0.4415808880149715
265,-1,0.7176338270095687
267,-1,0.3544640596467557
268,-1,0.6139182848087795
269,-1,0.5894338295204228
270,-1,0.3658533514054823
271,-1,0.4130095629487814
272,-1,0.45907821201329124
274,-1,0.2955191730350703
275,-1,0.2960637930358168
277,-1,0.33758579666064337
278,-1,0.20061521251426426
279,-1,0.20061521251426426
280,-1,0.20061521251426426
281,-1,0.20061521251426426
282,-1,0.20061521251426426
283,-1,0.20061521251426426
284,-1,0.5586297296038698
285,-1,0.3778471276413242
286,-1,0.3778471276413242
287,-1,0.4475736185778517
288,-1,0.3534314414599483
289,-1,0.6070052254596429
290,-1,0.6070052254596429
291,-1,0.1964865733512986
293,-1,0.7872460477476696
295,-1,0.30124280917047663
296,-1,0.7442519260976728
298,-1,0.36346883279383646
299,-1,0.38839967866820563
301,-1,0.33591791080073163
